0,Rep. Charlie Rangel
1,The American Homeowner
2,The Working Poor
3,Future Generations
4,Mayor Adrian Fenty
5,Liberalism
6,Tom DeLay
7,Blue Dog Democrats
8,Progressives
9,Nancy Pelosi
10,President Obama
11,The American Taxpayer
12,Sen. Blanche Lincoln
13,D.C. schoolchildren
14,MSM Credibility
15,Michael Steele
16,Rep. Maxine Waters
17,Former Rep. Eric Massa
18,Afghanistan
19,Gen. Stanley A. McChrystal
20,Timothy Geithner and Larry Summers
21,Rule of Law in the US
22,The Washington Redskins
23,Organized labor
24,The Political Center
25,Joe Miller
26,Credit card holders
27,Rep. Kendrick Meek
28,The State Department
29,Sen. Harry Reid
30,Rank-and-file Federal Employees
31,Robert Gibbs
32,Michelle Rhee
33,American Civil Liberties
34,obama
35,Cain
36,Washingtonians
37,the unemployed
38,Shellack
39,The Post
40,The middle class
41,"A three way tie between President Obama, Harry Reid and Nancy Pelosi."
42,The citizens and taxpayers
43,Retail banking consumers
44,San Francisco
45,President obama
46,Nancy Pelosi
47,us taxpayer
48,Nancy Pelosi
49,John McCain
50,"Anyone who had to spend the year there.  I returned to Boston after 30 years in DC, and feel liberated."
51,obama
52,liike the general
53,santa clause
54,Redskin fans
55,Sarah Palin
56,jim moran
57,jim moran
58,"Obana, although you won't admit it. His policies angered the people so much that the weak Republican Party swept the 2010 election."
59,Obama
60,nancy pelosi
61,The poor.
62,"It ain't over yet , but the obvious choice is Obama"
63,The American Middle Class
64,President Obama!
65,Former Alaska Governor Sarah Palin
66,TSA screeners or the American traveler
67,Albert Haynesworth
68,Hollywood Activists
69,adrian fenty
70,Julian Assange
71,Barack Obama
72,american democracy
73,Jack Johnson
74,The United States of America!
75,Crook Rangel
76,BP
77,Adrian Fenty
78,Elizabeth Edwards
79,Donovan McNabb
80,Albert Haynesworth
81,The Average American
82,Albert Haynesworth!
83,Albert Haynesworth
84,Nancy Pelosi
85,Nancy Pelosi
86,Nancy Pelosi
87,President Obama
88,Nancy Pelosi
89,Nancy Pelosi
90,Nancy Pelosi
91,Senator Harry Reid or Senator Bernie Sanders
92,Senator Harry Reid or Senator Bernie Sanders
93,"Liberals.  Not only did they lose the house, but they somehow lost a presidency two years before it was up for election."
94,"Liberals.  Not only did they lose the house, but they somehow lost a presidency two years before it was up for election."
95,"Liberals.  Not only did they lose the house, but they somehow lost a presidency two years before it was up for election."
96,"Liberals.  Not only did they lose the house, but they somehow lost a presidency two years before it was up for election."
97,Albert Haynesworth
98,President Obama had the worst year.  He capitulated on so many things that McConnell was the real legislative leader.
99,Responding to Climate Change
100,Truth in campaigning
101,TheRedskins Fans
102,Seattle Mariners
103,Barack Obama
104,Financial Institutions
105,Obama
106,Pres Obama
107,Nancy Pelosi
108,Albert Hanyesworth
109,President Obama
110,Adrian Fenty
111,President Obama
112,The fans of the Washington Nationals
113,Obama
114,Obama
115,the American people
116,Our Grandchildren
117,Adrian Fenty
118,Jason Campbell
119,The American Homeowner
120,Obama had the worse year
121,Tome DeLay
122,President Obama
123,Democrats
124,x
125,President Obama
126,The American Middle Class
127,The American People
128,President Obama
129,Barack Obama
130,Obama
131,Barack Obama
132,Nancy Pelosi
133,Unrepresented DC residents
134,Adrian Fenty
135,barack obama
136,obama
137,Fenty
138,The middle class.
139,REGULAR WORKING PEOPLE
140,The Middle Class
141,I quit.  This is so dumb.  This is really dumb.
142,serious why is this so lame?  this is the dumbest game ever.
143,The Middle Class
144,Nancy Pelosi
145,mayor Fenty
146,THE AMERICAN PEOPLE.
147,PRESIDENT GOP ASS KISSER OBAMA
148,The Middle Class
149,The American people.
150,The Founding Fathers of the Republic
151,President Obama
152,The american people
153,House Democrats
154,Elizabeth Edwards.
155,The American Homeowner
156,The Middle Class
157,American people
158,The American people and the Republic they lost!
159,President Obama--man with too thin a resume
160,American Middle Class
161,Barack Obama
162,"Privacy, personal modesty, and avoiding sexual assault by government TSA employees to airport checkpoints"
163,Pres. Obama
164,Jo-Ann Armao
165,SPEAKER NANCY PELOSI
166,obama
167,President Obama
168,President Obama
169,Dan Snyder
170,michael steele
171,Gilbert Arenes
172,President Obama
173,President Obama
174,Barack Obama
175,Barack Obama
176,Obama:  beat at every turn by an opponent he trounced a couple of years ago.
177,Barak Obama
178,The Redskins
179,Me
180,Clarence Thomas
181,Michele Rhee
182,American people
183,Blanche Lincoln
184,Gays in the military.
185,Homeowners
186,"The American People, minus the rich."
187,Charlie Rangel
188,Repulican Party of NO
189,the grey wolves
190,Obama The Working Poor
191,Jack and Leslie Johnson
192,The American People
193,Obama
194,The Washington Redskins
195,The American People
196,The Working Poor
197,President Obama
198,Barack Obama.  His reward for doing a good job has been to be reviled.
199,John Maynard Keynes
200,charlie rangel
201,Obama
202,obama
203,barak
204,The State Department
205,obama
206,"Barrack Obama:  he lost us, loyal Democrats, by selling out to GOP for NOTHING."
207,Adrian Fenty
208,the American people...
209,Fidel Obama
210,Nancy Pelosi
211,The middle class
212,barack obama
213,Barack Obama
214,"The Washington Post--it's getting thinner all the time, and yet, the copy editors still can't keep up."
215,president Obama
216,The Federal Deficit
217,The National Debt
218,Mr. Rangel
219,"That congressman from New York, what's his name?"
220,Senator Arlen Specter
221,Barak Obama
222,president obama
223,8 years of George W. Bush
224,Any American that is not rich.
225,Vince Gray
226,The USA
227,Barack Obama
228,obama
229,Obama
230,poor and working people sold out by a Congress and Executive beholden to the rich
231,Nancy Pelosi
232,obama
233,The voters.
234,Small Businesses
235,President Obama
236,The middle class
237,Nancy Pelosi
238,Obama
239,eric holden
240,John Boehner
241,obama
242,"All of the American People under this lousy administration, the Pelosi Congress and the Reid Senate....."
243,OBAMA
244,The undocumented but innocent child immigrant
245,Charles Rangel
246,obama
247,Pres Obama
248,Who had the worse year in Washinton....the American people of course.
249,Barak  Obama
250,"We, the people."
251,U> S> John Citizen.
252,The American people. They re being terrorized by the politicians. It is a national disgrace. P.L.
253,obamatron
254,President Obama
255,Democrats:Obama
256,Redskins Orioles
257,Pres. Obama
258,Obama
259,President Obama
260,President Obama
261,david axelrod
262,The American people with all the socialist policies passed by the Damitcrats.
263,Barrack Obama
264,Obama
265,Republicans lost their souls.
266,Military Retirees/Dependents
267,Barack Hussein Obama
268,It would have to be Massa: Chris has way too much fun doing this type of thing!
269,The US citizen
270,Nancy Pelosi
271,Barack Obama
272,"The American people who voted for Republicans who have promised to impoverish them.  By winning, they are guaranteed to lose"
273,obama
274,Objective Reporting
275,Mark Sanford
276,Inclusion
277,Tolerance
278,Intellectual Thought
279,Common Sense
280,Intelligence
281,rangel
282,The U. S. Constitution's Amendments.
283,General McChrystal.      American Values
284,pres obama
285,Rolling Stone.  America's Defense
286,"Hispanic Americans.  They got nada for saving the Dems in Colo, NV and Ca"
287,"Charlie Rangel, obviously."
288,Federal Civilian Employees
289,Michael Steele
290,Moderate Voters
291,President Obama
292,Rep Charles Rangel
293,obama
294,Michael Steel
295,American Taxpayer
296,The State Department
297,President Obama
298,Altruism vs. Greed
299,Michael Steele
300,Liberalism and the Socialist Party of Deceit...aka Democrats.
301,"We, the People have been ignored,  abandoned and screwed by our elected officers"
302,Constitutional Freedoms and Civil Rights
303,Barack Obama
304,Nancy Pelosi
305,me
306,Bart Stupak
307,Obama
308,War criminals
309,Mayor Adrian Fenty
310,Arlin Spector
311,Barack Obama
312,Chris Van Hoellen
313,Nancy Pelosi
314,Democrats
315,"I had the worst year, Americans are under seige from Out Of Control Government. JWTX"
316,the Democrats
317,Nancy Pelosi
318,Obama
319,The American people. As usual.
320,The unemployed of metro D.C. (or the entire country!)
321,Rep. Alan Mollohan
322,Obamessiah
323,Science
324,The U.S. Senate
325,Seattle Mariners
326,Chris Cillizza for his gargantuan contribution to the dumbing down of modern political discourse.
327,Bi-partisan cooperation to meet the modern challenges facing our country.
