Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
10009,625098,Long Island Iced Tea,49,33,3,59.5238,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:10 UTC,TRUE,43,52,NA
10009,625094,Dark and Stormy,45,32,0,58.2278,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:19 UTC,TRUE,53,39,NA
10009,625101,Margarita,46,33,1,58.0247,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:19 UTC,TRUE,49,39,NA
10009,625100,Gin and Tonic,53,42,6,55.6701,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:12 UTC,TRUE,60,53,NA
10009,625092,Old Fashioned,46,41,0,52.809,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:07 UTC,TRUE,53,49,NA
10009,647885,Sazerac!,0,0,0,50.0,TRUE,4901332,2017-02-10 05:29:58 UTC,2017-02-10 05:29:58 UTC,FALSE,0,0,NA
10009,647884,Gin and tonic. Feel free to muddle some sugar snap peas in it,0,0,0,50.0,TRUE,4901332,2017-02-10 05:29:25 UTC,2017-02-10 05:29:25 UTC,FALSE,0,0,NA
10009,647883,Screwdriver,0,0,0,50.0,TRUE,4901257,2017-02-10 04:37:28 UTC,2017-02-10 04:37:28 UTC,FALSE,0,0,NA
10009,647882,White Russian,0,0,0,50.0,TRUE,4901257,2017-02-10 04:37:14 UTC,2017-02-10 04:37:14 UTC,FALSE,0,0,NA
10009,625095,Manhattan,36,41,2,46.8354,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:11 UTC,TRUE,42,44,NA
10009,625097,Cosmopolitan,39,45,5,46.5116,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:14 UTC,TRUE,46,53,NA
10009,625093,Whisky Sour,46,55,2,45.6311,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:15 UTC,TRUE,63,51,NA
10009,625099,Martini,35,55,1,39.1304,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:15 UTC,TRUE,48,60,NA
10009,625096,Screaming Orgasm,30,48,4,38.75,FALSE,4877552,2017-01-23 04:21:12 UTC,2017-02-11 15:39:00 UTC,TRUE,36,53,NA
